Province,Date,Confirmed cases,New,Deaths,Recovered
Blida,28 September 2020,4133,,,
Blida,29 September 2020,4142,,,
Blida,30 September 2020,4158,,,
Blida,01 October 2020,4163,,,
Blida,02 October 2020,4176,,,
Blida,03 October 2020,4189,,,
Blida,04 October 2020,4200,,,
Blida,05 October 2020,4211,,,
Blida,06 October 2020,4214,,,
Blida,07 October 2020,4218,,,
Blida,08 October 2020,4229,,,
Blida,09 October 2020,4246,,,
Blida,10 October 2020,4263,,,
Blida,11 October 2020,4275,,,
Blida,12 October 2020,4281,,,
Blida,13 October 2020,7294,,,
Blida,14 October 2020,4310,,,
Blida,15 October 2020,4319,,,
Blida,16 October 2020,4333,,,
Blida,17 October 2020,4339,,,
Blida,18 October 2020,4358,,,
Blida,19 October 2020,4368,,,
Blida,20 October 2020,4386,,,
Blida,21 October 2020,4411,,,
Blida,22 October 2020,4422,,,
Blida,23 October 2020,4435,,,
Blida,24 October 2020,4448,,,
Blida,25 October 2020,4470,,,
Blida,26 October 2020,4487,,,
Blida,27 October 2020,4496,,,
Blida,28 October 2020,4515,,,
Blida,29 October 2020,4536,,,
Blida,30 October 2020,4549,,,
Blida,31 October 2020,4563,,,
Blida,01 November 2020,4577,,,
Blida,02 November 2020,4578,,,
Blida,03 November 2020,4638,,,
Blida,04 November 2020,4656,,,
Blida,05 November 2020,4656,,,
Blida,06 November 2020,4726,,,
Blida,07 November 2020,4766,,,
Blida,08 November 2020,4787,,,
Blida,09 November 2020,4912,,,
Blida,10 November 2020,4992,,,
Blida,11 November 2020,5055,,,
Blida,12 November 2020,5131,,,
Blida,13 November 2020,5173,,,
Blida,14 November 2020,5265,,,
Blida,15 November 2020,5317,,,
Blida,16 November 2020,5456,,,
Blida,17 November 2020,5551,,,
Blida,18 November 2020,5605,,,
Blida,19 November 2020,5671,,,
Blida,20 November 2020,5712,,,
Blida,21 November 2020,5757,,,
Blida,22 November 2020,5834,,,
Blida,23 November 2020,5955,,,
Blida,24 November 2020,6074,,,
Blida,25 November 2020,6108,,,
Blida,26 November 2020,6217,,,
Blida,27 November 2020,6220,,,
Blida,28 November 2020,6327,,,
Blida,29 November 2020,6396,,,
Blida,30 November 2020,6447,,,
Blida,01 December 2020,6572,,,
Blida,02 December 2020,6628,,,
Blida,03 December 2020,6699,,,
Blida,04 December 2020,6729,,,
Blida,05 December 2020,6762,,,
Blida,06 December 2020,6804,,,
Blida,07 December 2020,6855,,,
Blida,08 December 2020,6912,,,
Blida,09 December 2020,6952,,,
Blida,10 December 2020,6971,,,
Blida,11 December 2020,7012,,,
Blida,12 December 2020,7051,,,
Blida,13 December 2020,7070,,,
Blida,14 December 2020,7074,,,
Blida,15 December 2020,7086,,,
Blida,16 December 2020,7116,,,
Blida,17 December 2020,7138,,,
Blida,18 December 2020,7183,,,
Blida,19 December 2020,7214,,,
Blida,20 December 2020,7239,,,
Blida,21 December 2020,7272,,,
Blida,22 December 2020,7288,,,
Blida,23 December 2020,7316,,,
Blida,24 December 2020,7335,,,
Blida,25 December 2020,7385,,,
Blida,26 December 2020,7451,,,
Blida,27 December 2020,7451,,,
Blida,28 December 2020,7512,,,
Blida,29 December 2020,7515,,,
Blida,30 December 2020,7547,,,
Blida,31 December 2020,7561,,,
Blida,01 January 2021,7597,,,
Blida,02 January 2021,7617,,,
Blida,03 January 2021,7627,,,
Blida,04 January 2021,7658,,,
Blida,05 January 2021,7677,,,
Blida,06 January 2021,7684,,,
Blida,07 January 2021,7701,,,
Blida,08 January 2021,7733,,,
Blida,09 January 2021,7752,,,
Blida,10 January 2021,7762,,,
Blida,11 January 2021,7779,,,
Blida,12 January 2021,7784,,,
Blida,13 January 2021,7796,,,
Blida,14 January 2021,7806,,,
Blida,15 January 2021,7835,,,
Blida,16 January 2021,7845,,,
Blida,17 January 2021,7861,,,
Blida,18 January 2021,7882,,,
Blida,19 January 2021,7892,,,
Blida,20 January 2021,7915,,,
Blida,21 January 2021,7936,,,
Blida,22 January 2021,7960,,,
Blida,23 January 2021,7973,,,
Blida,24 January 2021,8002,,,
Blida,25 January 2021,8017,,,
Blida,26 January 2021,8037,,,
Blida,27 January 2021,8061,,,
Blida,28 January 2021,8075,,,
Blida,29 January 2021,8087,,,
Blida,30 January 2021,8097,,,
Blida,31 January 2021,8114,,,
Blida,01 February 2021,8124,,,
Blida,02 February 2021,8146,,,
Blida,03 February 2021,8165,,,
Blida,04 February 2021,8172,,,
Blida,05 February 2021,8186,,,
Blida,06 February 2021,8207,,,
Blida,07 February 2021,8216,,,
Blida,08 February 2021,8221,,,
Blida,09 February 2021,8230,,,
Blida,10 February 2021,8264,,,
Blida,11 February 2021,8270,,,
Blida,12 February 2021,8286,,,
Blida,13 February 2021,8291,,,
Blida,14 February 2021,8305,,,
Blida,15 February 2021,8310,,,
Blida,16 February 2021,8326,,,
Blida,17 February 2021,8327,,,
Blida,18 February 2021,9337,,,
Blida,19 February 2021,8354,,,
Blida,20 February 2021,8361,,,
Blida,21 February 2021,8371,,,
Blida,22 February 2021,8384,,,
Blida,23 February 2021,8390,,,
Blida,24 February 2021,8399,,,
Blida,25 February 2021,8418,,,
Blida,26 February 2021,8431,,,
Blida,27 February 2021,8438,,,
Blida,28 February 2021,8448,,,
Blida,01 March 2021,8453,,,
Blida,02 March 2021,8465,,,
Blida,03 March 2021,8476,,,
Blida,04 March 2021,8493,,,
Blida,05 March 2021,8508,,,
Blida,06 March 2021,8514,,,
Blida,07 March 2021,8525,,,
Blida,08 March 2021,8548,,,
Blida,09 March 2021,8549,,,
Blida,10 March 2021,8561,,,
Blida,11 March 2021,8579,,,
Blida,12 March 2021,8609,,,
Blida,13 March 2021,8614,,,
Blida,14 March 2021,8623,,,
Blida,15 March 2021,8635,,,
Blida,16 March 2021,8649,,,
